165.232.98.39:7497|United Kingdom|England|London
37.187.111.126:7497|France|Hauts-de-France|Gravelines
5.188.199.5:1080|Russia|St.-Petersburg|St Petersburg
161.129.245.25:7497|Canada|Manitoba|Winnipeg
159.65.4.147:7497|Singapore|Central Singapore|Singapore
159.89.228.253:38172|United States|New Jersey|North Bergen
192.252.220.92:17328|United States|California|Los Angeles
174.77.111.197:4145|United States|Oklahoma|Oklahoma City
68.183.90.210:7497|India|Karnataka|Bengaluru
174.77.111.196:4145|United States|Oklahoma|Oklahoma City
24.249.199.4:4145|United States|Florida|Pensacola
98.162.25.4:31654|United States|Louisiana|Baton Rouge
24.249.199.12:4145|United States|Florida|Pensacola
184.178.172.13:15311|United States|Virginia|Roanoke
184.181.217.210:4145|United States|Oklahoma|Oklahoma City
184.178.172.28:15294|United States|Virginia|Roanoke
72.195.34.42:4145|United States|Louisiana|Baton Rouge
72.195.114.169:4145|United States|Louisiana|Monroe
72.195.34.60:27391|United States|Louisiana|Baton Rouge
174.64.199.79:4145|United States|Oklahoma|Oklahoma City
72.221.172.203:4145|United States|Louisiana|Monroe
70.166.167.55:57745|United States|Arizona|Phoenix
184.178.172.14:4145|United States|Virginia|Roanoke
72.210.252.137:4145|United States|Louisiana|Monroe
192.111.130.5:17002|United States|Georgia|Atlanta
42.112.20.94:15099|Vietnam|Ho Chi Minh|Go Vap
192.111.139.163:19404|United States|Georgia|Atlanta
174.77.111.198:49547|United States|Oklahoma|Oklahoma City
192.252.209.155:14455|United States|Georgia|Atlanta
174.75.211.222:4145|United States|Oklahoma|Oklahoma City
72.195.34.59:4145|United States|Louisiana|Baton Rouge
43.129.93.194:7497|Hong Kong|Central and Western District|Central
72.221.232.155:4145|United States|Oklahoma|Oklahoma City
72.221.196.157:35904|United States|Oklahoma|Oklahoma City
70.166.167.38:57728|United States|Arizona|Phoenix
98.170.57.231:4145|United States|Oklahoma|Oklahoma City
184.178.172.5:15303|United States|Virginia|Roanoke
72.217.216.239:4145|United States|Arizona|Phoenix
98.188.47.132:4145|United States|Louisiana|Prairieville
98.178.72.21:10919|United States|Oklahoma|Oklahoma City
98.162.25.29:31679|United States|Louisiana|Baton Rouge
189.84.122.67:7497|Brazil|Para|Canaa Dos Carajas
5.161.86.206:1080|United States|Kansas|Wichita
202.46.36.32:21071|China|Guangdong|Shenzhen
67.201.33.10:25283|United States|California|Buena Park
72.206.181.105:64935|United States|Louisiana|Baton Rouge
98.162.25.7:31653|United States|Louisiana|Baton Rouge
203.153.36.37:7497|India|Haryana|Gurugram
98.188.47.150:4145|United States|Louisiana|Prairieville
5.161.93.53:1080|United States|Kansas|Wichita
192.252.208.70:14282|United States|Georgia|Atlanta
192.111.138.29:4145|United States|Georgia|Atlanta
104.248.142.28:7497|Germany|Hesse|Frankfurt am Main
98.162.96.53:10663|United States|Oklahoma|Oklahoma City
72.206.181.123:4145|United States|Louisiana|Baton Rouge
72.210.252.134:46164|United States|Louisiana|Monroe
72.206.181.97:64943|United States|Louisiana|Baton Rouge
98.162.25.23:4145|United States|Louisiana|Baton Rouge
72.195.34.58:4145|United States|Louisiana|Baton Rouge
72.195.34.35:27360|United States|Louisiana|Baton Rouge
72.210.208.101:4145|United States|Louisiana|Monroe
202.46.36.196:21071|China|Guangdong|Shenzhen
98.162.96.41:4145|United States|Oklahoma|Oklahoma City
113.108.247.146:20086|China|Guangdong|Guangzhou
72.195.114.184:4145|United States|Louisiana|Monroe
192.111.130.2:4145|United States|Georgia|Atlanta
192.252.208.67:14287|United States|Georgia|Atlanta
72.206.181.103:4145|United States|Louisiana|Baton Rouge
98.162.96.52:4145|United States|Oklahoma|Oklahoma City
72.221.164.34:60671|United States|Louisiana|Monroe
192.252.214.20:15864|United States|Georgia|Atlanta
113.160.188.21:1080|Vietnam|Tinh Thanh Hoa|Thanh Hóa
124.227.14.147:7302|China|Guangxi|Lilancun
192.111.135.18:18301|United States|Georgia|Atlanta
103.53.228.217:7497|Vietnam|Ho Chi Minh|Ho Chi Minh City
45.136.244.65:1080|Russia|Krasnodarskiy Kray|Tikhoretsk
72.195.34.41:4145|United States|Louisiana|Baton Rouge
95.217.144.183:44965|Finland|Uusimaa|Helsinki
45.135.165.132:16379|Germany|Saxony|Dresden
192.111.139.162:4145|United States|Georgia|Atlanta
91.205.72.103:29755|Poland|Łódź Voivodeship|Lodz
27.128.206.18:7302|China|Hebei|Gaocheng
161.8.174.48:1080|United States|California|Los Angeles
184.178.172.25:15291|United States|Virginia|Roanoke
174.64.199.82:4145|United States|Oklahoma|Oklahoma City
192.111.137.37:18762|United States|Georgia|Atlanta
98.175.31.195:4145|United States|Virginia|Norfolk
116.212.142.231:33427|Cambodia|Phnom Penh|Phnom Penh
213.136.82.183:37795|Germany|Bavaria|Nuremberg
5.161.100.145:1080|United States|Kansas|Wichita
182.160.5.234:1080|Hong Kong|Central and Western District|Hong Kong
192.111.139.165:4145|United States|Georgia|Atlanta
185.181.61.186:52345|Norway|Vestfold og Telemark|Sandefjord
192.252.215.5:16137|United States|Georgia|Atlanta
159.223.163.20:44171|United States|New Jersey|North Bergen
221.214.109.166:7300|China|Shandong|Jinan
110.180.242.168:7302|China|Shanxi|Taiyuan
222.185.82.102:7302|China|Jiangsu|Banzhu
218.64.122.99:7302|China|Jiangxi|Nanchang Shi
62.113.115.94:16072|Russia|Moscow|Moscow
192.111.135.17:18302|United States|Georgia|Atlanta
149.154.69.203:3080|Russia|Moscow Oblast|Skolkovo
27.124.82.1:1080|Indonesia|West Kalimantan|Pontianak
178.33.192.51:25201|Lithuania|Vilnius|Vilnius
198.8.94.174:39078|United States|Georgia|Atlanta
159.65.116.119:30199|Germany|Hesse|Frankfurt am Main
